,old-man-sea-words
1788,san
1789,dona
1790,circulating
1791,purpose
1792,naturally
1793,write
1794,gently
1795,strength
1796,bury
1797,seeing
1798,concerned
1799,sick
1800,sights
1801,rifle
1802,calmly
1803,squeezing
1804,flash
1805,clublike
1806,impact
1807,knees
1808,hot-sweet
1809,coughing
1810,bring
1811,easy
1812,mark
1813,ciaou
1814,shady
1815,passed
1816,beyond
1817,sides
1818,shelled
1819,stretch
1820,marching
1821,terza
1822,cavalry
1823,lances
1824,horses
1825,plumes
1826,somewhere
1827,lose
1828,died
1829,kid
1830,manager
1831,buried
1832,perpetually
1833,plot
1834,permanently
1835,sweethearts
1836,spain
1837,notice
1838,arrangements
1839,continuing
1840,grave
1841,twenty
1842,perpetual
1843,cash
1844,box
1845,attend
1846,paco
1847,spending
1848,sooner
1849,contract
1850,fights
1851,pesos
1852,benefit
1853,fifteen
1854,capital
1855,payment
1856,following
1857,saturday
1858,mother's
1859,remains
1860,dumped
1861,boneheap
1862,attended
1863,response
1864,final
1865,warning
1866,public
1867,pay
1868,sent
1869,deserve
1870,dearer
1871,flowers
1872,effect
1873,owed
1874,trusting
1875,accounts
1876,authorized
1877,account
1878,quick
1879,seven
1880,suits
1881,packed
1882,ruined
1883,trip
1884,season
1885,spend
1886,spoiled
1887,salt
1888,owe
1889,punk
1890,paesano
1891,generous
1892,matador
1893,townsman
1894,distress
1895,angry
1896,drove
1897,quarrel
1898,driving
1899,motherless
1900,offer
1901,peso
1902,evening
1903,callao
1904,cinema
1905,gran
1906,via
1907,madrid
1908,roger
1909,worst
1910,spanish
1911,vanity
1912,meet
1913,bedroom
1914,newspaper
1915,folded
1916,stopping
1917,falling
1918,melting
1919,roof
1920,wrote
1921,letter
1922,writing
1923,steadily
1924,cross
1925,rewrite
1926,roanoke
1927,virginia
1928,february
1929,6
1930,1933
1931,dear
1932,decision
1933,dare
1934,parents
1935,confide
1936,situation
1937,u
1938,service
1939,1929
1940,china
1941,shanghai
1942,staid
1943,discharged
1944,months
1945,helena
1946,arkansas
1947,taking
1948,injections
1949,treated
1950,spell
1951,sifilus
1952,contact
1953,return
1954,assures
1955,k
1956,finishes
1957,often
1958,become
1959,victim
1960,malady
1961,daughter
1962,born
1963,thanking
1964,wholly
1965,signed
1966,wherever
1967,portrait
1968,mr
1969,wheeler
1970,montreux
1971,warm
1972,wiping
1973,baskets
1974,pretzels
1975,glazed
1976,sacks
1977,chairs
1978,carved
1979,seats
1980,worn
1981,clock
1982,porters
1983,drinking
1984,porter
1985,simplon-orient
1986,express
1987,saint
1988,maurice
1989,waitress
1990,awake
1991,languages
1992,german
1993,french
1994,dialects
1995,permitted
1996,cigar
1997,drank
1998,lit
1999,cigarette
2000,fr鋟lein
2001,joking
2002,argue
2003,comes
2004,forty
2005,upstairs
2006,francs
2007,policeman
2008,sell
2009,mademoiselle
2010,sion
2011,deal
2012,losing
2013,interestedly
2014,hateful
2015,pretended
2016,swiss
2017,bags
2018,charge
2019,eight
2020,followed
2021,au
2022,revoir
2023,he's
2024,ugly
2025,cement
2026,rails
2027,headlight
2028,inexpensive
2029,sport
2030,spent
2031,actually
2032,aside
2033,franc
2034,seventy-five
2035,centimes
2036,careful
2037,chances
2038,ii
2039,talks
2040,vevey
2041,shiny
2042,striped
2043,cloths
2044,blue
2045,zinc
2046,habit
2047,marked
2048,quarter
2049,ten
2050,due
2051,ten-thirty
2052,eleven-thirty
2053,signorina
2054,play
2055,blushed
2056,violent
2057,party
2058,duty
2059,substitute
2060,civil
2061,person
2062,berlitz
2063,school
2064,undergraduates
2065,wild
2066,lot
2067,necking
2068,petting
2069,smoothies
2070,scott
2071,fitzgerald
2072,happiest
2073,team
2074,feebly
2075,awfully
2076,list
2077,walked
2078,wollen
2079,sie
2080,trinken
2081,oui
2082,monsieur
2083,connais
2084,vous
2085,des
2086,champagnes
2087,non
2088,faut
2089,les
2090,conna顃re
2091,champagne
2092,laquelle
2093,est
2094,le
2095,meillieur
2096,spoken
2097,pair
2098,gold-rimmed
2099,glasses
2100,typewritten
2101,prices
2102,sportsman
2103,agree
2104,personally
2105,i've
2106,price
2107,eleven
2108,sportsmen
2109,folding
2110,spectacles
2111,birthday
2112,f阾e
2113,decided
2114,divorce
2115,doubtless
2116,experience
2117,dentist
2118,unwell
2119,understandable
2120,oldest
2121,divorced
2122,stopped
2123,clowning
2124,practically
2125,confirmed
2126,retard
2127,thirty-five
2128,mais
2129,阾es
2130,encore
2131,jeune
2132,explained
2133,n'a
2134,que
2135,trente-cinq
2136,ans
2137,expensive
2138,cheap
2139,marry
2140,idiotic
2141,filled
2142,raised
2143,prosit
2144,votre
2145,sant�
2146,salut
2147,tasted
2148,pink
2149,cider
2150,respond
2151,cultivated
2152,la
2153,suisse
2154,romande
2155,ah
2156,c'est
2157,normale
2158,et
2159,莂
2160,va
2161,pour
2162,moi
2163,鏰
2164,ne
2165,pas
2166,ha
2167,exhausted
2168,troubles
2169,amusement
2170,writer
2171,quarters
2172,muffler
2173,heavily
2174,filling
2175,unopened
2176,apiece
2177,blunt
2178,blunted
2179,iii
2180,territet
2181,polishing
2182,cardboard
2183,pads
2184,moist
2185,reading
2186,harris
2187,sugar
2188,crunched
2189,lumps
2190,spoon
2191,david
2192,belasco
2193,backwards
2194,excuse
2195,beg
2196,intrude
2197,occurred
2198,national
2199,geographic
2200,society
2201,liqueur
2202,kirsch
2203,perhaps
2204,pocketbook
2205,wide
2206,rubber
2207,band
2208,selected
2209,handed
2210,certificate
2211,membership
2212,frederick
2213,j
2214,roussel
2215,afraid
2216,states
2217,washington
2218,observe
2219,nominated
2220,nomination
2221,magazine
2222,plates
2223,fauna
2224,containing
2225,panorama
2226,volcanoes
2227,alaska
2228,enjoyed
2229,animal
2230,george
2231,shiras
2232,imagine
2233,wondered
2234,h
2235,family
2236,sahara
2237,desert
2238,favorites
2239,newer
2240,numbers
2241,fond
2242,artistic
2243,value
2244,exceeded
2245,scientific
2246,blowing
2247,arab
2248,camel
2249,mecca
2250,colonel
2251,lawrence's
2252,lawrence
2253,deals
2254,arabia
2255,reminded
2256,royal
2257,force
2258,nominate
2259,scientist
2260,lauzanne
2261,elected
2262,splendid
2263,university
2264,active
2265,longer
2266,sail
2267,havre
2268,meeting
2269,science
2270,initials
2271,e
2272,instead
2273,dr
2274,sigismund
2275,wyer
2276,ph
2277,ill
2278,shivering
2279,ached
2280,schatz
2281,headache
2282,downstairs
2283,miserable
2284,nine
2285,fever
2286,temperature
2287,medicines
2288,capsules
2289,instructions
2290,purgative
2291,overcome
2292,acid
2293,condition
2294,germs
2295,influenza
2296,exist
2297,degrees
2298,epidemic
2299,flu
2300,danger
2301,avoided
2302,pneumonia
2303,areas
2304,detached
2305,aloud
2306,howard
2307,pyle
2308,pirates
2309,foot
2310,waited
2311,capsule
2312,strangely
2313,medicine
2314,papa
2315,bothers
2316,bother
2317,lightheaded
2318,prescribed
2319,covered
2320,sleet
2321,frozen
2322,bushes
